# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.39328e-06 to 1.4903 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       7.461348975050e-03      -6.965502534057e-01      -5.356403328195e+02      -5.359075165881e+02      -6.924811384682e-01       4.266913409527e+03       0.000000000000e+00      -1.371944270266e+02       7.861515006548e-01       7.861515006548e-01       1.071815033176e+03       1.468859408469e-01       1.377935976155e+00       3.771430306768e-04       5.021179402840e-08      -1.264607932771e-11      -7.344427933279e-02      -3.470455417380e-06      -7.344297042343e-02      -2.857515339183e-05 
       9.393281830955e-03      -7.377022488789e-01      -8.013650929204e+02      -8.019599637006e+02      -7.338272196203e-01       4.151179136808e+03       0.000000000000e+00      -2.052974423027e+02       7.589554791033e-01       7.589554791033e-01       1.603919927401e+03       2.216953336126e-01       1.319718474112e+00       3.830375679248e-04       5.318419811358e-08      -1.339469344482e-11      -1.108488887588e-01      -5.568158773785e-06      -1.108476668063e-01      -4.317751309328e-05 
       1.182544119713e-02      -7.436864963145e-01      -1.178818175232e+03      -1.180150107506e+03      -7.400670663776e-01       3.940391710133e+03       0.000000000000e+00      -3.020946645520e+02       7.167242669126e-01       7.167242669126e-01       2.360300215013e+03       3.281889116884e-01       1.238694876447e+00       3.764018784346e-04       5.361959116090e-08      -1.350434925620e-11      -1.640955791754e-01      -9.060357251587e-06      -1.640944558442e-01      -6.403974380834e-05 
       1.488734842872e-02      -7.147037871116e-01      -1.697966122791e+03      -1.700913450701e+03      -7.113963396924e-01       3.641642209722e+03       0.000000000000e+00      -4.353604058566e+02       6.598568007161e-01       6.598568007161e-01       3.401826901403e+03       4.753133976450e-01       1.135715619488e+00       3.572745998876e-04       5.153239614058e-08      -1.297867925555e-11      -2.376577137415e-01      -1.497032417656e-05      -2.376566988225e-01      -9.302312360347e-05 
       1.874206110350e-02      -6.587078054263e-01      -2.378500058986e+03      -2.384806578235e+03      -6.557749587499e-01       3.256870710081e+03       0.000000000000e+00      -6.103246402630e+02       5.889142695806e-01       5.889142695806e-01       4.769613156470e+03       6.680077712443e-01       1.010217689138e+00       3.259595877125e-04       4.749666692585e-08      -1.196226164327e-11      -3.340047773583e-01      -2.492669792572e-05      -3.340038856221e-01      -1.313134342408e-04 
       2.359474443067e-02      -5.789502428116e-01      -3.222138527822e+03      -3.234795175211e+03      -5.764357958210e-01       2.808170302069e+03       0.000000000000e+00      -8.276991242594e+02       5.070244812614e-01       5.070244812614e-01       6.469590350422e+03       9.076893750159e-01       8.678546250944e-01       2.850683529222e-04       4.174677414479e-08      -1.051412377762e-11      -4.538454473351e-01      -4.092985687237e-05      -4.538446875080e-01      -1.794790607285e-04 
       2.968852275264e-02      -4.869398501796e-01      -4.208287361633e+03      -4.231003846405e+03      -4.848605360048e-01       2.331271288970e+03       0.000000000000e+00      -1.082367912360e+03       4.205284509119e-01       4.205284509119e-01       8.462007692811e+03       1.188416328907e+00       7.187187691220e-01       2.389353988768e-04       3.511280855130e-08      -8.843327966078e-12      -5.942087900872e-01      -6.331143935268e-05      -5.942081644536e-01      -2.364343182556e-04 
       3.687366229249e-02      -4.020295435270e-01      -5.295720971762e+03      -5.329098102417e+03      -4.003307324932e-01       1.909298451161e+03       0.000000000000e+00      -1.363098840568e+03       3.442136289217e-01       3.442136289217e-01       1.065819620483e+04       1.497793005721e+00       5.877367254354e-01       1.968802887688e-04       2.899032213819e-08      -7.301350620691e-12      -7.488970126205e-01      -8.472088313447e-05      -7.488965028604e-01      -2.987176682830e-04 
       4.293953782215e-02      -3.508522679581e-01      -6.235641420921e+03      -6.273381545847e+03      -3.493767629358e-01       1.660205822811e+03       0.000000000000e+00      -1.604690686875e+03       2.992063564035e-01       2.992063564035e-01       1.254676309169e+04       1.764111650361e+00       5.106737953497e-01       1.717699545404e-04       2.529996690920e-08      -6.371917090655e-12      -8.820562673857e-01      -9.261091242841e-05      -8.820558251807e-01      -3.507644104798e-04 
       4.733724597358e-02      -3.232434947493e-01      -6.964831257558e+03      -7.002406899156e+03      -3.218879934439e-01       1.526155935317e+03       0.000000000000e+00      -1.791344085854e+03       2.750170320483e-01       2.750170320483e-01       1.400481379831e+04       1.969570675817e+00       4.692636192131e-01       1.582231925378e-04       2.330906498789e-08      -5.870498965338e-12      -9.847857438463e-01      -9.208188697337e-05      -9.847853379086e-01      -3.899329329606e-04 
